id.f2 	 id.f2.ma 	 id.f2.fa 	 fa.h 	 ma.h 	 ma.l 	 fa.l 
350	294	175	1812	1690	1925	1997
351	294	175	1812	1690	1925	1997
352	294	175	1812	1690	1925	1997
353	294	175	1812	1690	1925	1997
354	294	175	1812	1690	1925	1997
355	294	175	1812	1690	1925	1997
356	294	175	1812	1690	1925	1997
357	294	175	1812	1690	1925	1997
358	294	175	1812	1690	1925	1997
359	294	175	1812	1690	1925	1997
360	294	175	1812	1690	1925	1997
361	294	175	1812	1690	1925	1997
362	294	175	1812	1690	1925	1997
363	294	175	1812	1690	1925	1997
364	310	175	1812	1774	1953	1997
365	310	175	1812	1774	1953	1997
366	310	175	1812	1774	1953	1997
367	310	175	1812	1774	1953	1997
368	310	175	1812	1774	1953	1997
369	310	175	1812	1774	1953	1997
370	310	175	1812	1774	1953	1997
371	310	175	1812	1774	1953	1997
372	310	175	1812	1774	1953	1997
373	310	175	1812	1774	1953	1997
374	310	175	1812	1774	1953	1997
376	310	175	1812	1774	1953	1997
378	310	175	1812	1774	1953	1997
379	310	175	1812	1774	1953	1997
380	246	175	1812	1653	2109	1997
381	246	175	1812	1653	2109	1997
383	246	175	1812	1653	2109	1997
384	246	175	1812	1653	2109	1997
385	246	175	1812	1653	2109	1997
386	246	175	1812	1653	2109	1997
387	246	175	1812	1653	2109	1997
388	246	175	1812	1653	2109	1997
389	246	175	1812	1653	2109	1997
390	246	175	1812	1653	2109	1997
391	246	175	1812	1653	2109	1997
392	246	175	1812	1653	2109	1997
393	246	175	1812	1653	2109	1997
394	246	175	1812	1653	2109	1997
395	246	175	1812	1653	2109	1997
396	246	175	1812	1653	2109	1997
398	246	175	1812	1653	2109	1997
399	320	175	1812	1819	1934	1997
400	320	175	1812	1819	1934	1997
402	320	175	1812	1819	1934	1997
403	320	175	1812	1819	1934	1997
404	320	175	1812	1819	1934	1997
405	320	175	1812	1819	1934	1997
406	320	175	1812	1819	1934	1997
407	320	175	1812	1819	1934	1997
408	320	175	1812	1819	1934	1997
409	320	175	1812	1819	1934	1997
410	320	175	1812	1819	1934	1997
411	320	175	1812	1819	1934	1997
412	320	175	1812	1819	1934	1997
413	320	175	1812	1819	1934	1997
414	320	175	1812	1819	1934	1997
416	231	175	1812	1653	2108	1997
417	231	175	1812	1653	2108	1997
418	231	175	1812	1653	2108	1997
419	231	175	1812	1653	2108	1997
421	231	175	1812	1653	2108	1997
422	231	175	1812	1653	2108	1997
424	274	175	1812	1736	1926	1997
425	274	175	1812	1736	1926	1997
427	274	175	1812	1736	1926	1997
428	274	175	1812	1736	1926	1997
429	274	175	1812	1736	1926	1997
430	274	175	1812	1736	1926	1997
431	313	175	1812	1774	2012	1997
432	313	175	1812	1774	2012	1997
433	313	175	1812	1774	2012	1997
434	313	175	1812	1774	2012	1997
435	313	175	1812	1774	2012	1997
436	313	175	1812	1774	2012	1997
437	313	175	1812	1774	2012	1997
438	313	175	1812	1774	2012	1997
439	313	175	1812	1774	2012	1997
440	313	175	1812	1774	2012	1997
441	313	175	1812	1774	2012	1997
442	313	175	1812	1774	2012	1997
443	313	175	1812	1774	2012	1997
444	313	175	1812	1774	2012	1997
445	322	175	1812	1890	1937	1997
446	322	175	1812	1890	1937	1997
447	322	175	1812	1890	1937	1997
448	322	175	1812	1890	1937	1997
449	322	175	1812	1890	1937	1997
451	322	175	1812	1890	1937	1997
452	322	175	1812	1890	1937	1997
453	322	175	1812	1890	1937	1997
454	322	175	1812	1890	1937	1997
455	322	175	1812	1890	1937	1997
456	322	175	1812	1890	1937	1997
460	322	175	1812	1890	1937	1997
461	322	175	1812	1890	1937	1997
462	249	175	1812	1655	1940	1997
463	249	175	1812	1655	1940	1997
467	249	175	1812	1655	1940	1997
468	249	175	1812	1655	1940	1997
469	249	175	1812	1655	1940	1997
470	249	175	1812	1655	1940	1997
472	249	175	1812	1655	1940	1997
473	249	175	1812	1655	1940	1997
474	276	175	1812	1736	1926	1997
479	276	175	1812	1736	1926	1997
482	276	175	1812	1736	1926	1997
483	292	219	1712	1819	1934	2130
484	292	219	1712	1819	1934	2130
485	292	219	1712	1819	1934	2130
486	292	219	1712	1819	1934	2130
488	292	219	1712	1819	1934	2130
