Loc	Type	Name	RefSeq	INSDC	Size(Mb)	GC%	Protein	rRNA	tRNA	OtherRNA	Gene	Pseudogene
Nuc	Chr	1	NC_006088.4	CM000093.4	196.2	40.3	5,638	-	41	1,274	2,962	17
Nuc	Chr	2	NC_006089.4	CM000094.4	149.56	40.0	3,687	-	49	895	1,945	4
Nuc	Chr	3	NC_006090.4	CM000095.4	111.3	40.2	3,241	-	18	885	1,715	4
Nuc	Chr	4	NC_006091.4	CM000096.4	91.28	40.2	2,99	-	4	779	1,547	5
Nuc	Chr	5	NC_006092.4	CM000097.4	59.83	41.3	2,734	-	11	592	1,295	3
Nuc	Chr	6	NC_006093.4	CM000098.4	35.47	42.0	1,638	-	3	428	724	5
Nuc	Chr	7	NC_006094.4	CM000099.4	36.95	41.7	1,7	-	21	411	699	2
Nuc	Chr	8	NC_006095.4	CM000100.4	29.96	42.2	1,56	-	2	355	709	3
Nuc	Chr	9	NC_006096.4	CM000101.4	24.09	43.3	1,31	1	2	319	615	5
Nuc	Chr	10	NC_006097.4	CM000102.4	20.44	43.6	1,117	-	14	346	583	3
Nuc	Chr	11	NC_006098.4	CM000103.4	20.22	42.7	931	-	11	189	484	-
Nuc	Chr	12	NC_006099.4	CM000104.4	19.95	43.7	1,041	-	1	262	482	-
Nuc	Chr	13	NC_006100.4	CM000105.4	18.41	45.0	882	-	1	229	498	9
Nuc	Chr	14	NC_006101.4	CM000106.4	15.6	45.7	1,114	-	4	258	537	-
Nuc	Chr	15	NC_006102.4	CM000107.4	12.76	45.6	1,003	-	6	203	462	-
Nuc	Chr	16	NC_006103.4	CM000108.4	0.652338	54.0	194	-	22	53	115	5
Nuc	Chr	17	NC_006104.4	CM000109.4	10.96	48.2	881	-	2	187	390	1
Nuc	Chr	18	NC_006105.4	CM000110.4	11.05	47.3	907	-	13	203	405	-
Nuc	Chr	19	NC_006106.4	CM000111.4	9.98	47.3	876	-	2	173	410	-
Nuc	Chr	20	NC_006107.4	CM000112.4	14.11	46.3	903	-	2	263	472	2
Nuc	Chr	21	NC_006108.4	CM000113.4	6.86	48.0	696	-	-	113	304	2
Nuc	Chr	22	NC_006109.4	CM000114.4	4.73	47.6	304	-	1	61	174	3
Nuc	Chr	23	NC_006110.4	CM000115.4	5.79	51.2	600	-	-	96	284	-
Nuc	Chr	24	NC_006111.4	CM000116.4	6.28	49.5	543	-	-	127	226	-
Nuc	Chr	25	NC_006112.3	CM000124.4	2.91	55.0	564	-	2	75	312	2
Nuc	Chr	26	NC_006113.4	CM000117.4	5.31	52.4	732	-	3	135	326	1
Nuc	Chr	27	NC_006114.4	CM000118.4	5.66	52.2	704	-	16	129	430	3
Nuc	Chr	28	NC_006115.4	CM000119.4	4.97	53.1	743	-	4	112	371	-
Nuc	Chr	30	NC_028739.1	CM003637.1	0.024927	65.6	6	-	-	-	6	-
Nuc	Chr	31	NC_028740.1	CM003638.1	0.049161	53.5	5	-	-	-	5	-
Nuc	Chr	32	NC_006119.3	CM000120.3	0.078254	63.7	21	-	-	1	17	-
Nuc	Chr	33	NC_008465.3	CM000123.4	1.65	56.0	234	-	1	41	141	1
Nuc	Chr	W	NC_006126.4	CM000121.4	5.16	45.7	66	-	-	16	50	4
Nuc	Chr	Z	NC_006127.4	CM000122.4	82.31	41.0	2,04	-	2	514	1,137	11
Nuc	LinkageGroup	LGE64	NC_008466.3	CM000367.3	0.897576	47.2	159	-	-	29	66	-
MT	Chr	MT	NC_001323.1	X52392.1	0.016775	46.0	13	2	22	-	13	-
